area_id,source,calendar_quarter,sex,age_group,population,area_name,asfr,county
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y080_999,1952,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y000_004,72554,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y005_009,55375,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y010_014,45463,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y015_019,45622,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y020_024,67310,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y025_029,69086,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y030_034,57874,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y035_039,47023,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y040_044,33018,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y045_049,21536,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y050_054,14767,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y055_059,9460,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y060_064,5887,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y065_069,3355,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y070_074,2212,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y075_079,1375,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,male,Y080_999,1346,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y000_004,73284,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y005_009,57629,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y010_014,48504,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y015_019,53332,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y020_024,72278,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y025_029,74991,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y030_034,51929,Mombasa,,Mombasa
