year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2003,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,73.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,31.0,134.0,,estimated_tb_death_rate_excl_hiv
2004,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,78.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,33.0,142.0,,estimated_tb_death_rate_excl_hiv
2005,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,77.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,32.0,140.0,,estimated_tb_death_rate_excl_hiv
2006,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,78.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,44.0,122.0,,estimated_tb_death_rate_excl_hiv
2007,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,81.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,45.0,127.0,,estimated_tb_death_rate_excl_hiv
2008,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,78.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,44.0,123.0,,estimated_tb_death_rate_excl_hiv
2009,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,80.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,45.0,125.0,,estimated_tb_death_rate_excl_hiv
2010,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,79.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,44.0,124.0,,estimated_tb_death_rate_excl_hiv
2011,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,77.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,43.0,121.0,,estimated_tb_death_rate_excl_hiv
2012,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,74.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,41.0,115.0,,estimated_tb_death_rate_excl_hiv
2013,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,70.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,39.0,109.0,,estimated_tb_death_rate_excl_hiv
2014,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,69.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,38.0,107.0,,estimated_tb_death_rate_excl_hiv
2015,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,64.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,36.0,100.0,,estimated_tb_death_rate_excl_hiv
2016,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,60.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,34.0,94.0,,estimated_tb_death_rate_excl_hiv
2017,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,50.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,28.0,78.0,,estimated_tb_death_rate_excl_hiv
2018,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,38.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,22.0,59.0,,estimated_tb_death_rate_excl_hiv
2019,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,37.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,21.0,58.0,,estimated_tb_death_rate_excl_hiv
2020,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,38.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,22.0,59.0,,estimated_tb_death_rate_excl_hiv
2021,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,40.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,23.0,61.0,,estimated_tb_death_rate_excl_hiv
2022,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,31.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,16.0,53.0,,estimated_tb_death_rate_excl_hiv
2023,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,28.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,14.0,47.0,,estimated_tb_death_rate_excl_hiv
2024,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,29.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,14.0,49.0,,estimated_tb_death_rate_excl_hiv
2000,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,13000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,4600.0,24000.0,,estimated_tb_deaths_excl_hiv_num
2001,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,17000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,6500.0,31000.0,,estimated_tb_deaths_excl_hiv_num
2002,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,20000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,8200.0,37000.0,,estimated_tb_deaths_excl_hiv_num
2003,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,25000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,10000.0,45000.0,,estimated_tb_deaths_excl_hiv_num
2004,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,27000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,12000.0,49000.0,,estimated_tb_deaths_excl_hiv_num
2005,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,27000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,12000.0,50000.0,,estimated_tb_deaths_excl_hiv_num
