year,source_variable,value
2014,conf_rrmdr,173.0
2015,conf_rrmdr,368.0
2016,conf_rrmdr,308.0
2017,conf_rrmdr,390.0
2018,conf_rrmdr,465.0
2019,conf_rrmdr,507.0
2010,conf_mdr,112.0
2011,conf_mdr,166.0
2012,conf_mdr,225.0
2013,conf_mdr,102.0
2014,conf_mdr,123.0
2015,conf_mdr,321.0
2016,conf_mdr,154.0
2017,conf_mdr,191.0
2018,conf_mdr,103.0
2019,conf_mdr,129.0
2015,rr_sldst,22.0
2016,rr_sldst,204.0
2017,rr_sldst,198.0
2018,rr_sldst,125.0
2015,all_conf_xdr,1.0
2016,all_conf_xdr,9.0
2017,all_conf_xdr,1.0
2018,all_conf_xdr,1.0
2019,all_conf_xdr,9.0
2020,conf_rr_nfqr,581.0
2021,conf_rr_nfqr,465.0
2022,conf_rr_nfqr,327.0
2023,conf_rr_nfqr,380.0
2024,conf_rr_nfqr,383.0
2020,conf_rr_fqr,8.0
2021,conf_rr_fqr,8.0
2022,conf_rr_fqr,11.0
2023,conf_rr_fqr,8.0
2024,conf_rr_fqr,7.0
2014,unconf_rrmdr_tx,0.0
2015,unconf_rrmdr_tx,0.0
2016,unconf_rrmdr_tx,0.0
2017,unconf_rrmdr_tx,4.0
2018,unconf_rrmdr_tx,5.0
2019,unconf_rrmdr_tx,184.0
2014,conf_rrmdr_tx,544.0
2015,conf_rrmdr_tx,368.0
2016,conf_rrmdr_tx,308.0
2017,conf_rrmdr_tx,390.0
2018,conf_rrmdr_tx,465.0
2019,conf_rrmdr_tx,502.0
2022,rr_nfqr_014_tx,13.0
2023,rr_nfqr_014_tx,0.0
2024,rr_nfqr_014_tx,21.0
2010,unconf_mdr_tx,0.0
2011,unconf_mdr_tx,0.0
2012,unconf_mdr_tx,8.0
2013,unconf_mdr_tx,0.0
2008,conf_mdr_tx,28.0
2009,conf_mdr_tx,140.0
2010,conf_mdr_tx,118.0
2011,conf_mdr_tx,156.0
2012,conf_mdr_tx,194.0
2013,conf_mdr_tx,290.0
2011,conf_xdr_tx,1.0
2012,conf_xdr_tx,0.0
2013,conf_xdr_tx,0.0
2014,conf_xdr_tx,1.0
2015,conf_xdr_tx,0.0
2016,conf_xdr_tx,0.0
2017,conf_xdr_tx,1.0
2018,conf_xdr_tx,1.0
2019,conf_xdr_tx,9.0
2020,unconf_rr_nfqr_tx,12.0
2021,unconf_rr_nfqr_tx,16.0
2022,unconf_rr_nfqr_tx,12.0
2023,unconf_rr_nfqr_tx,0.0
2024,unconf_rr_nfqr_tx,0.0
2020,conf_rr_nfqr_tx,581.0
2021,conf_rr_nfqr_tx,465.0
2022,conf_rr_nfqr_tx,331.0
2023,conf_rr_nfqr_tx,372.0
2024,conf_rr_nfqr_tx,451.0
2020,conf_rr_fqr_tx,8.0
2021,conf_rr_fqr_tx,8.0
2022,conf_rr_fqr_tx,11.0
2023,conf_rr_fqr_tx,8.0
2024,conf_rr_fqr_tx,7.0
2022,nrr_hpmz_used,0.0
2023,nrr_hpmz_used,0.0
2024,nrr_hpmz_used,0.0
2023,nrr_2hrze2hr_used,0.0
2024,nrr_2hrze2hr_used,1.0
2024,nrr_2hrze2hr_tx,3084.0
2013,mdrxdr_bdq_used,0.0
2014,mdrxdr_bdq_used,0.0
2015,mdrxdr_bdq_used,1.0
2017,mdrxdr_bdq_used,1.0
2018,mdrxdr_bdq_used,1.0
2019,mdrxdr_bdq_used,1.0
2020,mdrxdr_bdq_used,1.0
2021,mdrxdr_bdq_used,1.0
2015,mdrxdr_bdq_tx,1.0
2017,mdrxdr_bdq_tx,10.0
2018,mdrxdr_bdq_tx,46.0
2019,mdrxdr_bdq_tx,145.0
2020,mdrxdr_bdq_tx,363.0
2021,mdrxdr_bdq_tx,363.0
