year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
2001,notification_rate,TB notification rate,230.9262849028253,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2002,notification_rate,TB notification rate,245.73535776387106,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2003,notification_rate,TB notification rate,279.8716054873889,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2004,notification_rate,TB notification rate,289.72339399809096,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2005,notification_rate,TB notification rate,286.84381404609456,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2006,notification_rate,TB notification rate,293.577836469379,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2007,notification_rate,TB notification rate,279.8323477234117,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2008,notification_rate,TB notification rate,254.9102247513362,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2009,notification_rate,TB notification rate,254.8869689374309,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2010,notification_rate,TB notification rate,238.6428531523348,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2011,notification_rate,TB notification rate,227.60408648029156,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2012,notification_rate,TB notification rate,211.87197607307425,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2013,notification_rate,TB notification rate,199.60528852206906,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2014,notification_rate,TB notification rate,191.1449291362069,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2015,notification_rate,TB notification rate,172.63651737192652,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2016,notification_rate,TB notification rate,158.56979867171543,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2017,notification_rate,TB notification rate,169.92438233882407,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2018,notification_rate,TB notification rate,188.28808064388016,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2019,notification_rate,TB notification rate,164.72720699937807,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2020,notification_rate,TB notification rate,136.08506032507478,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2021,notification_rate,TB notification rate,142.82449350058363,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2022,notification_rate,TB notification rate,163.47643994652705,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2023,notification_rate,TB notification rate,171.04210055666522,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2024,notification_rate,TB notification rate,168.04546238178645,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1980,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1981,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1982,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1983,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1984,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1985,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1986,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1987,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1988,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
