"Population by Sex, Households, Land Area, Density by Sub-county",,,,,,,,,,
,,,,,,,,,,
Sub County,,Sex*,,,Households,,Land Area ,Density ,,*please refer to the Metadata sheet
,Total,Male,Female,Total,Conventional,Group quarters,Sq. Km,Persons Per Sq. Km,,
        GUCHA,83740,39631,44108,19657,19621,36,82.10952,1019.857380727594,,
        GUCHA SOUTH,83623,40022,43598,19732,19627,105,95.21766,878.2299417986118,,
        KENYENYA,131740,62859,68878,30989,30985,4,141.72396,929.5534784661676,,
        KISII CENTRAL,166906,81330,85573,44311,44037,274,135.83115,1228.77557909213,,
        KISII SOUTH,135134,64514,70615,31696,31574,122,128.26513,1053.5521228567734,,
        KITUTU CENTRAL,154175,74608,79561,41271,41233,38,100.27942,1537.4540459049324,,
        MARANI,107464,50598,56864,26186,26133,53,128.44919,836.6265291357619,,
        MASABA SOUTH,122396,58143,64248,29232,29206,26,161.19205,759.3178447696397,,
        NYAMACHE,130898,62113,68782,30712,30583,129,162.69768,804.5474280887104,,
        SAMETA,66997,31829,35164,15658,15645,13,79.06232,847.3948146221867,,
    NYAMIRA,605576,290907,314656,150669,150499,170,897.32251,674.8699528333465,,
        BORABU,73167,36736,36431,19468,19404,64,246.90633,296.3350514342828,,
        MANGA,94209,44868,49339,23869,23836,33,111.45505,845.264525923231,,
        MASABA NORTH,111860,52884,58974,27913,27904,9,141.69982,789.4152582550917,,
        NYAMIRA NORTH,167267,80314,86947,40446,40396,50,215.7288,775.3577640074019,,
        NYAMIRA SOUTH,159073,76105,82965,38973,38959,14,181.53251,876.2783040899947,,
    NAIROBI CITY,4397073,2192452,2204376,1506888,1494676,12212,703.87005,6246.995450367579,,
        DAGORETTI,434208,217651,216526,155089,154949,140,29.12662,14907.59998928815,,
        EMBAKASI,988808,492476,496270,347955,346462,1493,86.28025,11460.421127662472,,
        KAMUKUNJI,268276,136670,131599,84365,83680,685,10.53927,25454.893934779164,,
        KASARANI,780656,381234,399385,271290,268611,2679,86.13753,9062.902082286317,,
        KIBRA,185777,94199,91569,61690,61651,39,12.13363,15310.916848461671,,
        LANG'ATA,197489,96698,100774,62239,60187,2052,216.83621,910.7750038612094,,
