year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2011,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,85000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2012,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,79000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2013,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,75000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2014,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,69000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2015,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,60000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2016,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,53000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2017,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,45000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2018,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,40000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2019,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,36000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2020,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,32000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2021,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,32000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2022,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,29000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2023,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,25000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2024,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,25000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2000,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,309.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2001,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,310.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2002,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,306.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2003,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,329.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2004,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,329.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2005,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,325.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2006,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,337.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2007,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,296.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2008,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,254.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2009,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,249.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2010,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,218.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2011,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,199.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2012,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,179.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2013,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,166.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2014,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,150.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2015,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,126.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2016,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,109.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2017,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,91.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2018,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,79.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2019,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,70.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2020,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,62.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2021,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,60.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2022,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,54.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2023,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,46.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
2024,estimated_tbhiv_incidence_rate,Estimated HIV-associated TB incidence rate,44.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_tbhiv_100k,,,,estimated_tbhiv_incidence_rate
